31-03-2026 19:50:10 | GET | cafeteria-api/produtos
31-03-2026 19:51:04 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:51:04 | POST | cafeteria-api/produtos
31-03-2026 19:51:04 | GET | cafeteria-api/produtos
31-03-2026 19:51:09 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:51:09 | DELETE | cafeteria-api/produtos
31-03-2026 19:51:09 | GET | cafeteria-api/produtos
31-03-2026 19:52:28 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:52:28 | POST | cafeteria-api/produtos
31-03-2026 19:52:28 | GET | cafeteria-api/produtos
31-03-2026 19:52:44 | GET | cafeteria-api/produtos
31-03-2026 19:53:04 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:53:04 | DELETE | cafeteria-api/produtos
31-03-2026 19:53:04 | GET | cafeteria-api/produtos
31-03-2026 19:54:19 | GET | cafeteria-api/produtos
31-03-2026 19:54:36 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:54:36 | POST | cafeteria-api/produtos
31-03-2026 19:54:36 | GET | cafeteria-api/produtos
31-03-2026 19:54:39 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:54:39 | DELETE | cafeteria-api/produtos
31-03-2026 19:54:39 | GET | cafeteria-api/produtos
31-03-2026 19:55:11 | GET | cafeteria-api/produtos
31-03-2026 19:55:17 | GET | cafeteria-api/produtos
31-03-2026 19:55:22 | GET | cafeteria-api/produtos
31-03-2026 19:55:23 | GET | cafeteria-api/produtos
31-03-2026 19:55:24 | GET | cafeteria-api/produtos
31-03-2026 19:56:29 | GET | cafeteria-api/produtos
31-03-2026 19:57:51 | GET | cafeteria-api/produtos
31-03-2026 19:57:51 | GET | cafeteria-api/produtos
31-03-2026 19:57:53 | GET | cafeteria-api/produtos
31-03-2026 19:57:55 | GET | cafeteria-api/produtos
31-03-2026 19:58:02 | GET | cafeteria-api/produtos
31-03-2026 19:58:08 | GET | cafeteria-api/produtos
31-03-2026 19:58:09 | GET | cafeteria-api/produtos
31-03-2026 19:58:49 | GET | cafeteria-api/produtos
31-03-2026 19:59:16 | GET | cafeteria-api/produtos
31-03-2026 19:59:21 | GET | cafeteria-api/produtos
31-03-2026 19:59:24 | GET | cafeteria-api/produtos
